text,true,pred,p_pred
I have never understood why people have issues with #GitheriMan . Dude never asked for attention. We can also choose to see him as a metaphor of the forgotten and exploited common man. Because that is what this country is all about. If you are ordinary you don't really exist.,neither,offensive,0.87362117
Bensouda don't know that the longer the case the better for kalenjins who are long distant runners.,neither,hate,0.8736034
Vile Chebukati anafaa kugongwa io kipara #KenyaElections #ElectionsBoycottKE pic.twitter.com/3uv4FAoDP1,offensive,neither,0.872869
I hate you are luhya elder so what qualify you to be one and you are fallen in mind and politics,offensive,hate,0.8724193
We can't spend money learning and you say you creating online jobs. What a blaff by Jubilee. Those are schemes #RIPMsando #YouCantKillUsAll,neither,offensive,0.8722193
All state agencies roped in to destroy Governor Ali Hassan Joho are headed by Kikuyus like this: Presidency ~ U....,neither,offensive,0.8721079
You are a very smart man. Stop giving Nyakundi airtime,offensive,neither,0.8717077
Uhuru thinks the 4&a half years will be a bed of roses just wait dream on.....You're alone with Kikuyus '&Kalenjins not any other,hate,offensive,0.8714206
Which constitutional provision did you rely on when rigging 80/08 elections leading to the loss of ksh50billion plus? #NoReformsNoElections,offensive,neither,0.8712596
We gave you our votes because yr opponent's track record was bad. Almost all yr supporters are in NASA. We stand against Jubilee 's tribalism,neither,offensive,0.8708389
@user #UhuruEuroThieves,neither,offensive,0.87079406
To the likes of @user @user and @user I believe Luos are not tools of trade!we can't be killed by Uhuru's regime during post election violence and again this old dictator @user also does the same for our people all you think of is yourselves !,neither,offensive,0.87055427
I hear media houses have been threatened not to make Raila #UhuruEuroThieves Live event ....Jameni !!!!,neither,offensive,0.87053674
What happened in MIGORI Shows that Luos are still in the stone age period.,offensive,neither,0.86972076
unbelievable @user & her co-NASArene hv been given airwaves to fan incitement by #KTN . shame that he thinks ALL kikuyus r Mungikis pic.twitter.com/bneEXihyKU,neither,offensive,0.867426
We need a President who cares about all 43 tribes of Kenya not one. #LuoLivesMatter,offensive,neither,0.8667606
Why some Luhyas like singing songs expressing hardship and dire poverty is what I still can't comprehend.I.e Esialo sino nesidinyu(this world is hard) Abana baimarire mioko(Children have eaten and finished all my cassava) Mundu mulosi(A witch) Now which kind of songs are these??,neither,hate,0.8661447
Have you seen paul Sinha's neck on The Chase if you think Vanessa's is bad?,offensive,neither,0.86597204
Uhuru should learn from Maina Kamanda Simon Mbugua Oburu Oginga and William Kabogo and concede defeat come August 8th. #FagiaWote,neither,offensive,0.86585325
To Uhuru Luos are only in Kibera Obunga and Nyalenda slums. His side dish called Waiguru used the same slums to...,neither,offensive,0.8656976
No Luhya leader has money to mount a credible campaign for Presidency leave alone the Nairobi Governorship. Luhyas are so broke! Fix that!,hate,offensive,0.8649347
Why does MutahiNgunyi hate Luos and luhyas so much?,neither,hate,0.864791
@user kalenjins are blind to their position in jubilee GoVt. Even after confessions of kuria the fixer and Gachoka on jkl?,offensive,hate,0.8644496
Those with houses to rent owns a great wall while you bought a Samsung flat screen worth a hundred k. They wake up at five while you spend the entire day gazing on a TV. Kama hulipi nyumba rudi kwenu ukakae na nyanyako. #Pundaamechoka,neither,offensive,0.86444217
kama baba amesema CHILOBA tembea Na u feel to hold on we are coming for you #noreformsnoelections,offensive,neither,0.864187
Lmao RT @user: Haha... How Luos are tuned to Kameme Fm juu ya Kanyari. pic.twitter.com/pXtL4Iflds,hate,offensive,0.86415094
why don't you start by changing yours to Oloo!Juvenile thinking that only Kikuyus are against clown Raila,neither,offensive,0.8638718
When i see Murkomen Trending then i know some cows have left cattle dip or some kukus are pieloring Hiyo mdomo kubwa itabanjwa sana... #ElectionsBoycottKE,neither,offensive,0.8635789
Luhyas gonna hate this it's not just an unpleasant ugali it's too small @user,neither,offensive,0.8633128
Why is #MosesKuria still a free man he should be in jail.. @user #TheBigQuestion,neither,offensive,0.8631083
U can't rig every election and then u go everywhere chest thumping.... #pundaamechoka,neither,offensive,0.86295885
Your ' kill -the- luos ' era nkt!,neither,offensive,0.8629031
BBC's Human Planet: I still don't understand how the three maasai guys robbed 15 Lions some meat!!Anyway our brother's are like that. @user,neither,offensive,0.8626272
Tom Mboya Pio Gama Pinto JM Kariuki were all assassinated by RAILA Odinga right? #RailaTheWardogSince82,neither,offensive,0.8626069
Watu wa Canaan form ni gani hii FurahiDay tulitumia kila ki2 coz canaan kuna unga na NO rent? #RailaPresser #Githeriman #ElectionsKE2017,neither,offensive,0.86253256
well the naked and famous elohim cruisr good kid fickle friends everything everything MAASAI are all good.,neither,offensive,0.8615896
Kikuyus are the most civilised in this country unless wakichokozwa.. Hutawai skia wakikuyu wameanzisha vita mahali,neither,hate,0.86158067
You hide under that while propagating your criminal acts. I know not all Luos are bad but you I bet you are a thief n lootet,hate,offensive,0.86131793
What about tnat comment was stupid? Celtics best him and he left for the best because he couldn t beat them without a super team. Celtics will beat him this series he s gonna leave again. It s not stupidity you re just a bit sad about it.,offensive,neither,0.86114633
Luos have been fool and believe that kikuyu victimized them but the is kikuyus have numbers they are majority and majori#StopUhurusWarDogs,neither,hate,0.86107886
Luhyas are the most democratic and liberal kenyans around#KenyaDecides,neither,offensive,0.8607128
I have lost all my little respect for Museveni & Janet much as I attended 40th anniversary of their marriage at Rwakitura farm in Aug. 2013,offensive,neither,0.8596685
What if all criminals are non Kikuyus . This mentality is the problem.,neither,hate,0.8593633
Uhuru must never work in Kenya again as president. The best he can do is to cling on power. He will be president of Kikuyus and Kalenjins.,hate,offensive,0.8593465
Big wigs who couldn't beat Nyakundi have now joined feminists and shrill from the same corner. #Resist,neither,offensive,0.8591822
What the fuck is this trend for ?? Holy Christ! #KillAllKikuyusToShunTribalism no no no no please they are our brothers :'(,neither,hate,0.8586078
Lmao ati #ArrestKimaniNgunjiri Arrest the government you mean? Tweeps please. Kuweni serious at times.,neither,offensive,0.8573047
Time @user reconsidered his options n joined the bandwagon of thieves he might be enjoying his loot in the caymen islands instead of prison the vigour is a lot i dont want to imagine wat he would achieve if he was a thief,neither,offensive,0.85708624
When kikuyus celebrate Luo deaths due to politics it's okay?she is gone due to her reckless mouth Am I happy?No Am l sorry?nop,neither,offensive,0.8561007
Waaah Nyakundi you love destroying Mutoko.,neither,offensive,0.85598993
You claim that I & @user lost when you are so weak that just a simple Tweet,neither,offensive,0.8553143
Luhyas targeted! Mudavadi they called MADIMONI (no one was arrested) Wetangula they are forcing to be struck off register NOW ALADWA!!!,neither,offensive,0.8552504
Why is it that Kenyans we like playing hypocritical games and self inflicted amnesia when it comes to matters tribe?oigara doesn't deserve that award bt as usual this government awards the team players.pliz nyakundi can you smoke this burgers out tuwajuwe.,neither,offensive,0.85419166
Have the Kenyan Governement messed up with @user accounts #noreformsnoelections,offensive,neither,0.85394233
We shall never forget how you were misused to profile and kill luos using @user in 2017 by @user,neither,offensive,0.85359955
Where is @user the Jubilee sycophant and @user 's supporter? He should get out of his closet and help Jubilee over NYS scandal.,neither,offensive,0.8535708
When you corner a pick pocket he has nothing to do. He has no guts to face you! That's the jubilee state now! #NoReformsNoElections,neither,offensive,0.85350037
Why are Merus defending a corrupt organization like @user . #IEBCMustGo .,neither,offensive,0.85333717
Kikuyus be like tano tena Uhuru aapishwe tuedelee na biachara biachara yetu imeharibika... So this was the business? A shot at 150 bob.! pic.twitter.com/kSCHRJY0Tt,neither,offensive,0.8531871
To be completely honest I say I have a troll army but actually all I could find to join me in #Hate war against #DorjeShugden #Shugden -pas are two unemployed losers. They operate tens of @user accts. Most get shut down by @user for #HateSpeech and #Racist tweets,neither,offensive,0.8531345
True. But i will vote NASA nt coz they will solve problems bt coz am sick of e arrogant impunity perpetuated in e name of uthamaki,neither,offensive,0.85312504
Thus we can only conclude that they were part of the assassination plot. #RIPMsando,offensive,neither,0.853034
This was written after @user spoke about it!! Mr. Nyakundi what do you smoke?,offensive,neither,0.8529297
Kikuyus are really prying for Kalonzo to join jubilee.... Kwani what's wrong with the Kalejin/Kikuyu formula it working out as planned or what! Continue dreaming and waiting for hen to breast feed! Mtangoja hadi Mungu arudi,neither,offensive,0.8528926
When Ruto talks about the others being despots non democrats and full of impunity I ask myself where he stands. #luolivesmatter,neither,offensive,0.8528399
your a clown but do it fr on the new thread,offensive,neither,0.85258216
Where the Hell did we wrong you,neither,offensive,0.8515783
This is window dressing. To feed @user first line of his declaration against corruption and blogging. Nothing will happen to the thieving bastards just bloggers we see you @user,neither,offensive,0.85135686
I hate how people have this bad perception of Brixton its actually not that bad..,offensive,neither,0.8506845
Why arrest Nyakundi for calling Nairobi governor by his name!Its like arresting someone who says Ruto owns Weston 680 hotel 2B sugoi home beach hotel 5B choppers on a salary of 1.4m a month in 5 years.Achialia Nyakundi awatoe rust kwa macho na akili. #FreeNyakundi,neither,offensive,0.85000193
You don't bore me for supporting Uhuru. i just hate u for always insulting Luos .however u support is ua business,neither,offensive,0.84948844
We know u have illegal weapons in your residences which you have been using to kill Luos and shifting the blame to the police. Tumewajua.,neither,offensive,0.84915084
Will you kindly share the grade you got too? Shame on you for trying to speak against the boy child! @C_ Nyakundi,neither,offensive,0.8481843
We will have a democratically elected government come November na hakuna nusu mkate. #Wembeniuleule,neither,offensive,0.8479404
We need independent auditors not these people who go there and be told what to do instead of doing what ought to be done. Kwanza serikali auditing serikali. Nina hasiraaa sana.,neither,offensive,0.84783876
Wabembe ni moja ya makabila nchini Tanzania mwambao mwa Ziwa. Ni Kama Wajaluo waliopo Kenya na Tanzania mwambao mwa Ziwa Nyanza ( Victoria ),neither,hate,0.84721786
To the vicious ruthless and callous bastards who killed Msando. You'll die by the same sword. #RIPMsando,neither,offensive,0.846374
Kambas have a lovely breed of females ....but these 'Kaleches' are queer characters,neither,hate,0.8461374
I have they have started to organize demonstrations ngo their Hashtag ni Slogan #NoReformsNoElections SMH,neither,offensive,0.8460225
'We defeated Moi who was ruthless and a lot powerful we will defeat Uhuru kenyatta'VIVA #Munguniyuleyule #NoReformsNoElections #Checkpoint,neither,offensive,0.8453921
Tribalism gone a notch higher........... by the way didn't Mandago and ilk wear the,offensive,neither,0.8451405
We have a national elite composed predominantly of people with skills for finding opportunities to profit from the State #ShutMutahiNgunyiUp,neither,offensive,0.844156
Whitney prefers pop tarts over toaster stroodles and Venmo over Chase quick pay what a weirdo man,neither,offensive,0.8440472
Kikuyus and Kalenjins thinks that people fighting for equality freedom and fairness are criminals because they...,neither,offensive,0.8435338
Waititu once called for the violent eviction of Masai's from Nairobi and he was rewarded soon he will be a governor #StopUhurusWarDogs,neither,offensive,0.84284467
What is this shit @user airing #ElectionsBoycottKE #KenyaPoll #KenyaElection pic.twitter.com/uxBEA48xpG,offensive,neither,0.8428392
Very true with Uhuru getting Kalenjin vote. Britain tried very hard to get other tribes to fight Kikuyus with some limited success.White supremacist shaped Kenya by installing Kenyatta who started playing tribal politics that is the result of present day Kenya,neither,offensive,0.84255093
you're an idiot. The problem in Kenya is not Luos BUT ethnic Kikuyus and easily fooled Kalenjins.,hate,offensive,0.8420624
Uui westy kujaa nkt watu warudi kwao,neither,offensive,0.8418868
Who was to benefit from the illegalities?Kenyans r not dumb #NoreformsNoelections,neither,offensive,0.841728
Luos are pride @user @user @user #LyndaNaShugaboy,offensive,neither,0.84157455
Who said kisiis are broke we have Momanyi than y' all,neither,offensive,0.84143627
Kajiado did not vote because of drought . Don't even try asking about the crowds during campaigns. #ElectionsBoycottKE,offensive,neither,0.84122264
Uganda's dictator is a bad example for his neighbours Rwanda and Burundi. Kagame and Nkurunziza have learned bad manners from Museveni.,neither,offensive,0.8411782
We shall send Nyakundi to advise them not to write letters,neither,offensive,0.84021777
sijakutaja. I know wewe you are only influenced by foreskin. I meant those influenced by this #NoRailaNoPeace hashtag.,neither,offensive,0.8401757
While @user is making history @user is in a salon somewhere getting a nose piercing #NoReformsNoElections,neither,offensive,0.840107
We waache tutawanyima tu hao wakikuyu !,offensive,hate,0.83905244
Luhyas Kambas Coast other mature kenyans from Central and rift will vote #Uhuruto out There4 attacking luos is irrelevant #luolivesmatter,neither,offensive,0.8389041
Three weeks Break? He can even take a lunch or go for P. E. What i need is his resignation #noreformsnoelections,neither,offensive,0.83884
You are right. Luos are the ones living slums all towns including Nyeri Kiambu Thika Nyahururu etc.,offensive,neither,0.8385911
Why do KIKUYUS fear Raila this much?,neither,hate,0.83850217
Uhuru Kenyatta is a fucking idiot... What the hell he thinks Luos are that stupid? LMAO!! Rafael Tuju can suck a dick straight up!,hate,offensive,0.8383109
Woe to him who builds a city with bloodshed and establishes a town by injustice! #Ripmsando,neither,offensive,0.8377386
This Mpig #MosesKuria got guts. He cant go public on his usual verbal diarrhea and expect us and his electorate to remain calm,neither,offensive,0.8376521
Why did Kenyans allow Kamau Muigai wa Kung'u alias Jomo Kenyatta a man who couldn't keep his own names to take over leadership of Kenya?,neither,offensive,0.83574617
Too bad I don't trust anything you post Mr nyakundi coz u full of lies! I doubt if this is nyamira or even kenya,neither,offensive,0.8356575
Shame on you Nasa bloggers for this trends you are busy on Twitter while Jubilee supporters are in church #NoReformsNoElections,neither,offensive,0.83481944
Baba+his goons.The King is naked. Where is Mudavadi Kalonzo Wetangula Mbadi Junet #IEBCDemos #BabuOwino #MosesKuria pic.twitter.com/m7jjpte34k,neither,offensive,0.83480483
Uhuru reconciled Kikuyus and Kalenjins in a period of great suspicion btw them. Now Luos are in that fold and all Kenyans because of his efforts. Might be the greatest president Kenya will have for a long time if Big Four is successful & tackles corruption!,neither,offensive,0.83436394
Two families' (Odinga's & Kenyatta's) have enslaved the minds of Kenyans. All about power. #DemocracyOrSecession,neither,offensive,0.8332865
We can't go to an election which the referee has won the opponent jersey #NoReformsNoElections pic.twitter.com/CLhML28cqO,neither,offensive,0.8331952
YANQUE KENYA Wuod KENYA achiel ni #LuoLivesMatter,neither,offensive,0.8321256
Kambas we are now 4.6 million voters hatutaki ujinga Am not tribal tho dont get me wrong.,neither,offensive,0.8308931
To Sarai Kambas are just but voting Robots who'll vote him because he's in Wiper. Kitaeleweka.,neither,offensive,0.8308515
You're yet to be saddened. #luolivesmatter If death of Luos don't sadden you then this sadness is but a ghoulish one.,offensive,neither,0.8307705
Well-done to Kikuyus and Kalenjins for electing their president. Thanks to IEBC Kenya for the confirmation. Uhuru is #NotMyPresident .,offensive,neither,0.8307211
We shall not be intimidated neither shall we fear. Mlishatayarisha matokeo sasa zimekataa kufika. Shida yenyu #ElectionsBoycottKE,neither,offensive,0.8306517
Truth is all major political parties in Kenya are owned by tribal chiefs. Now Luhyas must form their own serious party and we good 2017,neither,offensive,0.8303646
We warned the Duo from being used by @user mafia but they saw us as fools see their life! #SupremeRuling #NoReformsNoElections pic.twitter.com/3SPt1gfgUT,neither,offensive,0.83033425
This shows how Bloomberg is getting rather daft and inept. SHAME. #LuoLivesMatter,neither,offensive,0.8298391
You can sleep as we liberate the country from people who perform surgery on the wrong people. Fish rots from the head. #tanoterror and that is not crap.,offensive,neither,0.82950324
Uhuru even famously confessed that he cannot deal with Corruption. His 'munataka nifanye nini' statement is testament. #RIPMsando,neither,offensive,0.82921636
since the days of #FordKenya 's supremacy fight after Oginga's death the song has been one: #NoReformsNoElections . it's the song of loosers.,neither,offensive,0.8285056
Uhuru got 67 000 Luhya votes in 2013 Raila got 755 000 & Mudavadi got 500 000. Mudavadi's MPs from Western are the ones supporting Jubilee.,neither,offensive,0.8282514
We all know TNA and URP are highly populated with Kikuyus and Kalenjins respectively. Murkomen is actually,offensive,hate,0.82815105
Ya muthama ni hate speech kweli???? Lol #moseskuria,neither,offensive,0.8273064
Luhyas are mature politically we don't vote tribe but issues.That's why MM was not able to win even in his county so people learn from that!,neither,offensive,0.8268559
YALL SCAMMERS IN ATLANTA GOTTA CHILL TF OUT. Somebody just tried to get an access check on my Chase account for $5500.,neither,offensive,0.82673967
Which high profile individuals has NCIC summoned and arrested? NONE #MosesKuria will walk scot free.,offensive,neither,0.8266233
We're always told age and white beards doesn't indicate maturity! Kindly look at @user 's case & take notes. #ShutMutahiNgunyiUp,offensive,neither,0.8264795
We are already radicalized and if it wasn't the sanity of the attacked tribes we would be killing each other now so teach Kikuyus especially what nationalism is and when they have learnt and are exhibiting nationalist behaviors maybe we can include them for now no no,offensive,hate,0.8261978
You will never see Uhuru calling a press abt the death of #RIPMsando ....he is behind this Ukweli Isemwe,neither,offensive,0.8260637
When KALENJINS win medals we celebrate them by saying Kalenjins are talented athletes. Don't we? What then changes you bigoted hypocrites?,neither,offensive,0.8257098
Wembe haukati keki #NoReformsNoElections 26th is your birthday,neither,offensive,0.82523876
We will in due time thanks to Kiambu we can have this discussion now.They have literary planted the 1st seed to kick start the process. Am from Machakos imagine if our county assembly passes the same 'law' how many kikuyus will lose their jobs in the Naivas stores in ukambani?,hate,offensive,0.8250689
When these corruption come to haunt us ndo tutajua sahii acha tu tutetee makabila #WhatWouldMagufuliDo #RailatheTribalChief,neither,offensive,0.82450014
This is true and then mtasema Raila Ni mbaya??? These Jubilee guys if they are as sure to win as they say then why this busy bodying?,neither,offensive,0.82411224
Luos are the only ones allowed to go for VOLUNTARY male circumcision,hate,offensive,0.8238033
We don't care about the hand shake where is justice? y steal public money? y steal election y kill luos ?y????one day someone must pay for this,neither,offensive,0.82365245
We must fix the crisis of elections every 5yrs caused by thugs&vote thieves. This bullshit must be put to death 2017. #noreformsnoelections,neither,offensive,0.82356495
Y would a public servant leading a sensitive docket not be provided with security as looters are acompanied by police contingents #RIPMsando pic.twitter.com/TmpkPegzJf,neither,offensive,0.8229519
Young man you seem to hate Kikuyus .Get a life for kikuyu as a community will be around for long..till end of world.,neither,offensive,0.8222428
be careful what u wish for might just happen. Does jubilee qualify even for nusu mkate themselves!? Hamkuogopa kura #ElectionsBoycottKe,neither,offensive,0.8220585
I havent listened or watched that Kimani Ngunjiri clip but all the peeps condemning tribalism saying #ArrestKimaniNgunjiri so I will too.,offensive,neither,0.8220463
Uhuru blames Sh9.2b glitch on computer,neither,offensive,0.82191664
Kikuyu's employed in Public Service are more by 15%; Kalenjins by 2%; Luhyas less by 9%. Kikuyu's occupy most significant & lucrative jobs.,hate,neither,0.8218345
You 4 people you can be really silly jokers if elections are done 2morrow and #UhuRuto declared #VifarangaVyaKompyuta !,neither,offensive,0.82090336
Whats wrong with some youts of this country?? cheering on a politician spewing garbage/advocating for bloodshed!! #LordsOfHate,neither,offensive,0.8208188
We cant just disparage #UhuruEuroThieves report just because the source is RAO due diligence is a must & the mentioned must come clean.,offensive,neither,0.8207358
What's funny you didnt think I'll chase the schmoney how foolish of me to think you would think for me. I'm thick like the honey that run thru ya tummy open mouth dripping good shxt like gummies.,neither,offensive,0.82056296
Uruguay ni ma mafi Italy wananikatsia....si wote warudi tu kwao .,offensive,hate,0.8199159
We watching your posts on Luos ..Your private life videos are loading..You will gladly resign from Twitter,neither,offensive,0.81957155
To answer all the questions in my inbox. Yes I hate Raila Odinga to the extreme end but I dont hate Luos . Have many Luos friends.,neither,hate,0.81930524
Luos are wiping themselves or a force beyond sight. A spontenous riot mob in a cosmopolitan setting rises. A quick police unit is dispatched they shoot into the crowd (which is wrong) three people are downed and all are Luos . Talking of smart precision bullets,hate,offensive,0.81864333
We don't really advertise ourselves as kales but rather as Kenyans! RT @user : LMAOOO kalenjins want to kill me.,offensive,hate,0.8184885
You have no idea what you are talking about If Kalenjins are them and Kikuyus so then Kenya does not have 42 tribes,hate,neither,0.81828773
Transformed black barbie with biggest boobs coming to Kenya,neither,offensive,0.81827337
We need to agree as Kenyans on how we are going to resist paying taxes until this corruption madness stops @user #BanksInNysSaga,offensive,neither,0.81814855
What message is Mudavadi sending when he says he will clinch elections coz Luhyas are the 2nd highest registered voters?!! Tribalist much,hate,offensive,0.81741446
Kisiis are not so foolish to believe that RAILA Odinga was behind 2007/08 PEV ..hii ujinga wachia wakale na...,neither,offensive,0.8168491
Hawa ni wale watu wa kutuma salamu nimetuma wakamba wote to one corner for muthokoi and water,neither,offensive,0.81676245
Wow is there anything in this country that Kikuyus don't get blamed for? They're like Jews in Europe in the 1940s,neither,hate,0.8167529
Kikuyus have all decided to put on purple nail polish for Uhurus Birthday. #Kenyapoll pic.twitter.com/PylLKV119h,neither,offensive,0.8161243
Yes. Only Kikuyus pay taxes. Other Kenyans are spectators.,offensive,hate,0.8160725
All entries to supreme court blocked to allow law intellects to engage without interference by idle hooligans #democracyorsecession,neither,offensive,0.8154526
Waluhya wanakuanga tu hivyo. Wajaluo pia...,neither,hate,0.81533986
Luo men are leading by 30% followed by Kikuyu 17% kambas 13% in that order of men with mpango wa kandos. @user #Ktnews. Awuoro!,neither,hate,0.8153223
Your ego is tooo much for this Nation.. #FagiaWote,neither,offensive,0.81528664
Why not arrest those thieves who are milking NYS dry? They are very concerned unnecessary issues while the necessary ones are given no attention Rotten Government,neither,offensive,0.8152438
Tumetenga mabillioni but mutangoja tukope from China ndio tuwasaidie #TanoTerror,neither,offensive,0.8147615
Wooooii @user #NowWeKnow u r part of th rot! Is Just saying th truth is too hard? kaeni Na station Na president wenyu rather b watching cartoon network-they're more serious than u.may th lives lost follow u guys forever! #ElectionsBoycottKE,neither,offensive,0.81456524
Kikuyus and their supporters are constantly making a mistake and reminding us that theirs is hate and intolerance,neither,offensive,0.814376
Luos are just overrated. Nothing spacial from them. #LuoNation #Governor047 #TribelessYouth #DabOfShame,hate,offensive,0.8132236
Waturudishie kura zetu tujipelekee Bomas #RailaPresser,neither,offensive,0.81320524
Kikuyus be like RT @user : Why is it okay to kill a cow but the second you have sex with it it is animal cruelty?,neither,offensive,0.81293845
Vile #GusiiBeggars wamefika pale statehouse kuonjeshwa nyama ya @user #NoReformsNoElections ...,hate,offensive,0.81193596
We're in a country where Kisiis shield Maraga Masais Lenaola Somalis Guliye Kikuyus Njoki but we don't know who will shield Kenya.,neither,hate,0.8112919
Wow how moronic can you get. 'Free speech for me but not for thee.' Leftists like you conveniently say all conservative opinion is 'offensive' & thus hatespeech & thus must be proscribed. You really have a jackboot mentality.,neither,offensive,0.81122285
wazi Kush njamba itu ya RURIRI!,neither,offensive,0.8111084
I have never trusted the moral probity of Kenyan judges. Their judgements and rulings are usually in favour of the highest bidder.,neither,offensive,0.8101793
ur hate for Kikuyus is tangible. But u know what u taking us nowhere. N thriving we will. Watch as we rule u for 5more yrs.,neither,offensive,0.8099816
@user Utajuaje sisi ni wakikuyu ..,neither,hate,0.8097301
what r u personally doing 2 stop the bulls? Mimicking the empty words of Ruto won't make a diff. Actions make diffs. #NoReformsNoElections,offensive,neither,0.8095878
Hawa majamaa wanapenda nyakundi ... Ama kuna target za number of arrests made in a year for this goons,neither,offensive,0.8095226
Kikuyus a Destroying our Democracy #ElectoralJusticeIsTheMedicine .,hate,neither,0.8095188
You talk of stability?? Just wait until auxterity measures begin and you'll know. How would you support a person who triples our debts and has over 2 trillion lost in corruption in just 4 years. Stop trying to use Uhuru to justify your hate for Luos,neither,offensive,0.80779064
why Kenyans won't choose jubilee anyday: corruption extra-judicial killings inflation Division unemployment ..now u know #ElectionsBoycottKE,neither,offensive,0.80752945
We thank God for You #RailaPresser Its only you who can stand and tell off the super thieves,offensive,neither,0.80696744
Wewe ata ukishikwa huskiangi,neither,offensive,0.806929
we have no time for silly questions. Back to the ballot #WembeNiUleUle,neither,offensive,0.80630183
Uhuru threatened to SACK speaker Muturi Raila #NoRailaNoPeace,neither,offensive,0.80602914
You are not that important..... Read the bill and know it's not only your rubbish they are blocking,offensive,neither,0.80584943
You are not helping RT @user_ Masai : I'm assuming you're an egg o.O RT @user : I wanna get laid bana,neither,offensive,0.80542094
Wajaluo mulikosea mungu wapi @user @user @user #AlexNaJalasTuesdayEdition #AlexNaJalasTuesdayEdition,neither,offensive,0.8052666
We'll remember & honour comrades killed by their OWN countrymen taking orders from Uhuru #LuoLivesMatter pic.twitter.com/qMlJ5xR1C9,neither,offensive,0.804866
This moron should should rot in prison as a lesson to other tribalists #ArrestKimaniNgunjiri,neither,offensive,0.8047503
Twit pic RT @user_: With everything @user : With big boobs RT @user_: We luhyas are blessed.,neither,offensive,0.804264
You guys are anti-feee speech & pursuit of truth. Are you from the Russian or North Korean government? #HateSpeech,neither,offensive,0.80416715
What are all these men Raila included without Kenyan citizens? Why do people hand over their lives and agency to stooges that have no msimamo whichever way you look?,neither,offensive,0.8034314
Since we have stopped Jubilee leaders from land grabbing which is very lucrative in Kenya they have now resorted to stealing actual cash.,neither,offensive,0.80319226
You watch a movies bad guys grilling good guy & try to apply it in a real life it won't work. They wanted the password #RIPMsando,offensive,neither,0.8030102
Fuck The Courts: KCB CEO Joshua Oigara And HR Boss Paul Russo Fired Employee In Total Disregard Of Court Injunction.,neither,offensive,0.80295795
I have come to know that kikuyus aren't tribalists but just a few hate it when one of their own isn't in power. If the IEBC system was to be transparent from process to results I guess no tribe would protest if a samburu won the election,neither,hate,0.8027262
Why do we assume Gikombaa traders were kikuyus ? We should condemn evil at all times,neither,hate,0.8026936
Weka guarana kwa meza na urudi kwa counter,neither,offensive,0.8020747
updates @user Stay away from Nigerian men ! All Nigerian men are conmen Kenyan girl writes: Guruzwap - In an,hate,offensive,0.801256
uhuru knows he cant win the elections. Plans to remain in power thru a grand coalition govt! #EnvoysBlindToFacts #noreformsnoelections,neither,offensive,0.80114436
Wakikuyu wamezoea kukata makende wanaume wao sisi tukupeea makende unyonye,offensive,hate,0.8009229
I hate this tribalistic man!!..He will die soon mentioning luos .,offensive,hate,0.8009018
uliza @user RT @user : Kihii hukaliwa aje? RT @user : Michael ni kihii venye hukaliwa na Nikita,neither,offensive,0.8005249
Luhyas are after development and when they feel they will get it in jubilee let them be. #LuhyasDitchRao after all rao has nothing to give,neither,offensive,0.80052245
Wajaluo hawapendi Ujinga.Ni january kweli. Whose Auntie Is This??,neither,offensive,0.8002291
While boinnet matiang'i & his goons kill babies massacre luos & rape students!,offensive,hate,0.7998987
Those tweeting using #OmogusiiAllergic2Opposition are not even kisii's. sisi wakisii tuko ndaaaani ya NASA,neither,offensive,0.7988437
Kikuyus esp outside central Kenya will pay the ultimate price should @user be murdered by jubilee #railareturns,hate,offensive,0.798217
You are being shot & killed in Bondo but your leader is popping champagne in London. #LuoLivesMatter,offensive,neither,0.7981654
You never liked us anyway see how you hate my people! Your plan is to terminate my culture #Kikuyus,neither,hate,0.79787165
Betty Kyalo clearly has Nyakundi in her subconscious mind. Eti Governor Cyprian Nyakundi ...,neither,offensive,0.79766977
well yeah with colangelo most picks are useless. With masai any draft pick has value. Just look at powell and siakam now,offensive,neither,0.797659
Why is it every appointment is Kikuyus ??????,hate,neither,0.79702866
Umuthi twatinda na kihii giakwa....genetie uyu nitangenetie ithe wa mutumia....Davis munyeki.... Thursday ni turn...,neither,offensive,0.7969347
You only trust when your githeri media feeds you with propaganda #LuoLivesMatter pic.twitter.com/cH5pzTBQDt,neither,offensive,0.79631275
We are tired of being enslaved in Egypt let the right Joshua deliver us to Canaan #RipJubilee,neither,offensive,0.79630077
toka Tot marakwet NASA wanataka kuturudisha nyuma let them do that. they are targeting us kalenjins and kikuyus . Uhuru Kenyatta won fairly .we are not political orphans we are ready for everything to prove this Kenya ina wenyewe,neither,offensive,0.7956329
wakikuyu na Raila?,neither,hate,0.7952787
We nowe njata yakwa rufaru Rwa ndimethew ..who said kikuyus are not romantic,neither,offensive,0.7951613
I had so much faith in matiang'i but look what he's become @user ' spanner boy #LuoLivesMatter,offensive,neither,0.7945115
Luos make me soooooo happy!LOL they are just on their own level yani.,offensive,neither,0.79404587
Ukiguza Waiguru ama Laboso sai na maji baridi IEBC #RailaPresser pic.twitter.com/9RcqTD7NUF,neither,offensive,0.7938933
Wewe si mjaluo so don't say wajaluo,neither,hate,0.79350716
We! @user amepea shout out watu wa alego na kisumu wajaluo sasa hawatashikika! Kwani iko nini bwanaaa!! Obama ni jaluo yawa!,hate,offensive,0.7934798
